DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Belarus,2018,9491823,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Belarus,2019,9475174,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Belarus,2020,9408350,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Switzerland,2014,8139631,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Switzerland,2015,8237666,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Switzerland,2016,8327126,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Switzerland,2017,8419550,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Switzerland,2018,8484130,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Switzerland,2019,8544527,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Switzerland,2020,8606033,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Switzerland,2021,8670300,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Switzerland,2022,8738791,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Switzerland,2023,8815385,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Switzerland,2024,8962258,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Switzerland,2025,9048905,p,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Cyprus,2014,860032,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Cyprus,2015,860846,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Cyprus,2016,863764,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Cyprus,2017,869878,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Cyprus,2018,878601,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Cyprus,2019,890194,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Cyprus,2020,902429,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Cyprus,2021,914476,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Cyprus,2022,929764,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Cyprus,2023,949084,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Cyprus,2024,966365,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Cyprus,2025,979865,p,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Czechia,2014,10512419,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Czechia,2015,10538275,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Czechia,2016,10553843,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Czechia,2017,10578820,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Czechia,2018,10610055,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Czechia,2019,10649800,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Czechia,2020,10693939,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Czechia,2021,10494836,b,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Czechia,2022,10516707,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Czechia,2023,10827529,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Czechia,2024,10900555,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Czechia,2025,10909500,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Germany,2014,80767463,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Germany,2015,81197537,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Germany,2016,82175684,,
