DATAFLOW,LAST UPDATE,freq,unit,tra_meas,airline,rep_airp,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2016-06,33601,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2016-07,36993,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2016-08,35830,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2016-09,33121,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2016-10,29983,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2016-11,18636,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2016-12,22051,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2017-01,20632,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2017-02,17611,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2017-03,21767,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2017-04,26440,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2017-05,30032,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2017-06,33567,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2017-07,34485,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2017-08,33412,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2017-09,32951,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2017-10,28823,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2017-11,25757,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2017-12,25536,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2018-01,24296,,
