DATAFLOW,LAST UPDATE,freq,unit,tra_meas,tra_cov,schedule,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2007-08,18360351,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2007-09,16634172,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2007-10,15076951,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2007-11,11414915,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2007-12,10853414,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2008-01,10271835,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2008-02,10895303,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2008-03,13342379,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2008-04,13003590,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2008-05,14901587,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2008-06,15577125,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2008-07,17463466,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2008-08,18234442,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2008-09,15424350,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2008-10,13709632,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2008-11,9967957,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2008-12,9445317,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2009-01,8690211,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2009-02,8961475,,
