DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Bulgaria,2007,36756.3,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Bulgaria,2008,39009.3,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Bulgaria,2009,37703.6,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Bulgaria,2010,38290.0,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Bulgaria,2011,39090.3,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Bulgaria,2012,39383.1,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Bulgaria,2013,39169.3,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Bulgaria,2014,39541.2,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Bulgaria,2015,40884.6,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Bulgaria,2016,42122.1,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Bulgaria,2017,43278.7,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Bulgaria,2018,44287.2,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Bulgaria,2019,45967.1,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Bulgaria,2020,44526.8,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Bulgaria,2021,48012.5,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Bulgaria,2022,49973.2,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Bulgaria,2023,50813.6,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Bulgaria,2024,52534.7,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Switzerland,1995,343295.5,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Switzerland,1996,345218.5,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Switzerland,1997,352459.9,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Switzerland,1998,362244.6,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Switzerland,1999,368330.6,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Switzerland,2000,381712.8,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Switzerland,2001,387790.4,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Switzerland,2002,389265.6,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Switzerland,2003,388159.2,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Switzerland,2004,398200.6,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Switzerland,2005,409955.9,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Switzerland,2006,426904.8,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Switzerland,2007,443909.2,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Switzerland,2008,455147.2,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Switzerland,2009,446340.5,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Switzerland,2010,460894.0,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Switzerland,2011,467381.8,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Switzerland,2012,472635.9,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Switzerland,2013,481314.0,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Switzerland,2014,493555.9,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Switzerland,2015,500734.7,,
