date,nights,log_nights,hicp_PL,hicp_origins_wavg,hicp_ratio,exr_pln,relprice_wavg,relprice_DE,gdp_origins_wavg,gdp_DE,pop_origins_wavg,pop_DE,gdp_pc_origins_wavg,gdp_pc_DE,cci_DE,cci_origins_wavg_noUK,seats,log_seats,nights_lag1,nights_lag12,gdp_origins_lag3,cci_DE_lag2,seats_lag6,covid_strong,covid_post,month_01,month_02,month_03,month_04,month_05,month_06,month_07,month_08,month_09,month_10,month_11,month_12,trend,nights_yoy
2017-12-01,1119205.0,13.928130063291162,102.2,103.0040876649386,0.9921936334453618,4.2032,0.37798893108333637,0.23675567444510215,457547.3930232803,754534.4103764254,57399692.13540404,82769033.62303415,7984.829343278753,9116.143771992076,1.4,1.2054895188137904,3699826.0,15.123796619764565,1148682.0,961772.0,457312.84502966015,1.6,4594095.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,83,0.16369056283609829
2018-01-01,964037.0,13.778885991902907,102.4,102.12217425281648,1.0027205232283416,4.1632,0.38299557524549926,0.2418531392159575,457473.922500718,753599.8,57415638.70452011,82792351.0,7984.563103973199,9102.287722207575,2.3,1.2986743501277613,3803509.0,15.151434882573392,1119205.0,838952.0,457962.30664708256,1.5,4897398.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,84,0.14909673020625736
2018-02-01,990753.0,13.806221548389976,102.0,102.35431167958684,0.9965383805159475,4.1653,0.3808251029578,0.23960892440822348,458109.0081417944,755288.4669712841,57431850.05680436,82814808.0061469,7993.764163636609,9120.210324163563,2.3,0.2562665251084253,3453763.0,15.054975208776513,964037.0,863482.0,457900.8442025802,1.4,4906149.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,85,0.14739276557009884
2018-03-01,1273285.0,14.057111518448854,102.0,103.30028631437426,0.9874125584665168,4.2092,0.3764065112131273,0.2352682842668256,459002.0999460655,757792.3462988663,57446688.59505756,82834371.12242292,8006.223929435109,9148.283931303187,1.6,-0.6205586134469816,3980309.0,15.196870263674631,990753.0,1100166.0,457547.3930232803,2.3,4793848.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,86,0.15735716246457354
2018-04-01,1321726.0,14.094449772773606,102.5,103.75010574239984,0.9879508003056525,4.1937,0.37902840799822185,0.23683550427154207,459840.06577811786,759522.8,57463293.048962176,82855301.40600733,8017.714967856309,9166.858210776258,1.4,0.02003640481269997,4288056.0,15.271344274554872,1273285.0,1261882.0,457473.922500718,2.3,4309838.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,87,0.0474244025986581
2018-05-01,1543332.0,14.249454921411562,102.7,104.38766922447387,0.9838326764357127,4.285,0.37060282231338515,0.2297922136910962,460140.6858811853,758689.1584228252,57479497.5197039,82874895.47166422,8021.657336222031,9154.631859321365,1.1,-1.1138304184635497,4766559.0,15.377135428689266,1321726.0,1447273.0,458109.0081417944,1.6,3646538.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,88,0.0663724121157514
2018-06-01,1651020.0,14.316904442385272,102.8,104.46165297556772,0.9840931774652623,4.3038,0.36876882606509576,0.22879184197730276,460137.11396876007,756389.8666397088,57496339.01886009,82894532.47333805,8021.420450695174,9124.725649221698,1.4,-0.18466751493137457,5319644.0,15.486917129768019,1543332.0,1622510.0,459002.0999460655,1.4,3699826.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,89,0.017571540391122298
2018-07-01,2095134.0,14.555128548403074,102.6,104.23966517265265,0.9842702375344657,4.3239,0.36709741037992716,0.22555682858129503,460181.1853206986,754550.4,57512689.56329127,82913015.27288394,8022.043795724846,9100.506084800054,0.2,-0.5476548594350508,5705058.0,15.556863883030271,1651020.0,2029532.0,459840.06577811786,1.1,3803509.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,90,0.03232370812581431
2018-08-01,2067913.0,14.54205092767223,102.4,104.4426387952891,0.9804424819321854,4.2858,0.37043479747089486,0.22711839806296397,460565.3569511905,754457.5746401873,57529595.90282072,82931648.9398389,8027.723874700036,9097.342019420033,0.6,-1.0885070860664419,5768392.0,15.567904090161237,2095134.0,2036735.0,460140.6858811853,1.4,3453763.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,91,0.01530783337056607
2018-09-01,1759525.0,14.380555012559862,102.7,104.80515218017348,0.9799136575217748,4.3006,0.36884284041682464,0.22678431892650064,461279.33244501345,755861.1392284665,57546469.19988565,82949883.83193286,8038.422358450831,9112.262782187116,0.2,-2.2592949077266606,5462665.0,15.513447506940263,2067913.0,1721724.0,460137.11396876007,0.2,3980309.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,92,0.021955319203310175
